theta	FPR	TPR
0.1	0.803468208092	0.863436123348
0.15	0.734104046243	0.859030837004
0.2	0.658959537572	0.850220264317
0.25	0.64161849711	0.845814977974
0.3	0.612716763006	0.845814977974
0.35	0.595375722543	0.84140969163
0.4	0.578034682081	0.84140969163
0.45	0.543352601156	0.828193832599
0.5	0.49710982659	0.814977973568
0.55	0.468208092486	0.814977973568
0.6	0.433526011561	0.806167400881
0.65	0.421965317919	0.801762114537
0.7	0.404624277457	0.788546255507
0.75	0.398843930636	0.775330396476
0.8	0.393063583815	0.762114537445
0.85	0.375722543353	0.757709251101
